"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Mar 05, 2025",20555.00,20725.00,20215.00,20665.00,20665.00,783638
"Mar 04, 2025",20527.00,20732.50,20075.25,20399.00,20399.00,958071
"Mar 03, 2025",21005.25,21121.00,20316.75,20468.25,20468.25,833041
"Feb 28, 2025",20649.50,20944.25,20460.50,20919.50,20919.50,845890
"Feb 27, 2025",21249.00,21386.50,20583.25,20605.75,20605.75,854180
"Feb 26, 2025",21230.50,21409.25,21055.00,21187.00,21187.00,646236
"Feb 25, 2025",21442.50,21453.75,20990.00,21149.00,21149.00,805678
"Feb 24, 2025",21700.75,21813.00,21407.50,21420.25,21420.25,670634
"Feb 21, 2025",22136.00,22245.50,21652.75,21679.25,21679.25,708349
"Feb 20, 2025",22213.00,22235.50,21951.00,22141.75,22141.75,563585
"Feb 19, 2025",22224.50,22299.75,22118.00,22250.50,22250.50,496442
"Feb 18, 2025",22235.75,22319.75,22102.75,22232.25,22232.25,567203
"Feb 14, 2025",22071.00,22225.00,22042.50,22196.25,22196.25,433212
"Feb 13, 2025",21861.25,22124.00,21753.00,22113.25,22113.25,536739
"Feb 12, 2025",21794.25,21862.50,21510.75,21804.75,21804.75,545408
"Feb 11, 2025",21832.00,21871.50,21669.50,21786.75,21786.75,423200
"Feb 10, 2025",21463.25,21894.00,21418.00,21846.50,21846.50,391625
"Feb 07, 2025",21817.75,21968.00,21552.75,21590.75,21590.75,598869
"Feb 06, 2025",21764.50,21882.25,21705.75,21871.75,21871.75,438729
"Feb 05, 2025",21562.00,21795.00,21429.75,21763.00,21763.00,497655
"Feb 04, 2025",21592.00,21694.00,21242.50,21670.25,21670.25,497143
"Feb 03, 2025",21200.00,21579.75,20943.00,21405.00,21405.00,728140
"Jan 31, 2025",21680.00,21966.00,21533.75,21589.25,21589.25,655811
"Jan 30, 2025",21547.75,21748.75,21419.50,21624.75,21624.75,618073
"Jan 29, 2025",21559.00,21697.00,21367.00,21523.25,21523.25,629631
"Jan 28, 2025",21343.25,21626.00,21159.50,21581.75,21581.75,663336
"Jan 27, 2025",21771.00,21771.00,20763.75,21258.50,21258.50,1056136
"Jan 24, 2025",22018.50,22078.25,21844.00,21911.25,21911.25,522901
"Jan 23, 2025",21981.75,22050.50,21855.50,22038.25,22038.25,476286
"Jan 22, 2025",21809.25,22093.50,21768.25,22000.50,22000.50,508606
"Jan 21, 2025",21600.00,21783.50,21377.75,21709.50,21709.50,662316
"Jan 17, 2025",21227.50,21682.50,21209.25,21594.75,21594.75,594110
"Jan 16, 2025",21389.00,21567.25,21172.25,21249.75,21249.75,598631
"Jan 15, 2025",20977.00,21452.75,20909.00,21400.25,21400.25,551806
"Jan 14, 2025",21020.00,21143.75,20773.50,20919.50,20919.50,676188
"Jan 13, 2025",21027.50,21037.00,20694.00,20947.25,20947.25,617059
"Jan 10, 2025",21302.75,21372.50,20874.75,21016.00,21016.00,703964
"Jan 09, 2025",21334.75,21347.25,21218.00,21301.50,21301.50,77170
"Jan 08, 2025",21380.75,21448.25,21166.25,21360.75,21360.75,637114
"Jan 07, 2025",21781.25,21806.00,21279.50,21359.75,21359.75,645144
"Jan 06, 2025",21532.25,21896.75,21478.25,21744.50,21744.50,574300
"Jan 03, 2025",21186.75,21559.25,21144.00,21516.50,21516.50,488243
"Jan 02, 2025",21269.00,21490.50,20983.75,21167.50,21167.50,664742
"Dec 31, 2024",21390.25,21524.75,21182.00,21226.50,21226.50,477280
"Dec 30, 2024",21711.00,21742.75,21253.00,21416.25,21416.25,530975
"Dec 27, 2024",21990.75,22008.00,21498.75,21698.50,21698.50,572604
"Dec 26, 2024",22049.50,22111.25,21870.25,22008.00,22008.00,407116
"Dec 24, 2024",21743.25,22049.75,21709.00,22028.50,22028.50,261201
"Dec 23, 2024",21566.00,21776.75,21476.75,21753.25,21753.25,508598
"Dec 20, 2024",21151.50,21151.50,20745.00,20947.98,20947.98,864714
"Dec 19, 2024",21218.50,21424.25,21080.00,21112.75,21112.75,124728
"Dec 18, 2024",22010.00,22083.75,21034.25,21218.75,21218.75,209588
"Dec 17, 2024",22115.00,22124.50,21942.25,22014.75,22014.75,277298
"Dec 16, 2024",21780.25,22152.50,21762.00,22110.25,22110.25,482433
"Dec 13, 2024",21720.75,21908.00,21666.50,21795.75,21795.75,639403
"Dec 12, 2024",21756.75,21772.50,21604.25,21651.25,21651.25,510307
"Dec 11, 2024",21436.00,21820.00,21405.75,21793.50,21793.50,547213
"Dec 10, 2024",21479.25,21606.75,21352.75,21405.25,21405.25,544406
"Dec 09, 2024",21649.00,21706.25,21436.00,21483.75,21483.75,517123
"Dec 06, 2024",21450.00,21669.25,21424.75,21656.75,21656.75,459878
